iter	Logloss
0	0.5865789558
1	0.51750423
2	0.4672158975
3	0.4273826231
4	0.3967637456
5	0.3750099096
6	0.3585682659
7	0.3449325827
8	0.335063274
9	0.3286919309
10	0.323187374
11	0.3179378857
12	0.3143045441
13	0.3108782545
14	0.3070620073
15	0.3053651269
16	0.3020501256
17	0.300213737
18	0.2988178939
19	0.2977735722
20	0.2968848444
21	0.2959196847
22	0.2950923917
23	0.2928231869
24	0.2924985098
25	0.2919161277
26	0.2913334807
27	0.2908725821
28	0.2906596552
29	0.2906094537
30	0.2895640904
31	0.2893331452
32	0.2888712987
33	0.2884963167
34	0.2880527467
35	0.2879840777
36	0.2877801096
37	0.287562889
38	0.2875505688
39	0.2871137983
40	0.2869167134
41	0.2853270036
42	0.2849398898
43	0.2845726849
44	0.2843577764
45	0.2842216476
46	0.2840345369
47	0.2835533234
48	0.2835060246
49	0.283497702
50	0.2834292848
51	0.2832599101
52	0.2831174163
53	0.283020462
54	0.2828239655
55	0.2825685984
56	0.2825057023
57	0.2824754484
58	0.2823966308
59	0.2823399496
60	0.282097646
61	0.2818215277
62	0.2816211082
63	0.2815896954
64	0.2815404744
65	0.2815046611
66	0.281485995
67	0.2811975478
68	0.2806379295
69	0.2805990277
70	0.2805654438
71	0.2805635559
72	0.2803810856
73	0.2803223847
74	0.2800640148
75	0.2799424305
76	0.2798555747
77	0.279603253
78	0.2794526037
79	0.2793438851
80	0.279308329
81	0.2792535679
82	0.2791826577
83	0.2791058826
84	0.2791020621
85	0.2790930705
86	0.2790904258
87	0.2789771846
88	0.2789737406
89	0.2786948328
90	0.2786397899
91	0.2786344385
92	0.2786269407
93	0.2785802538
94	0.2785564214
95	0.278535769
96	0.278498574
97	0.2784842277
98	0.2783941557
99	0.2783033899
