iter	Passed	Remaining
0	39	3871
1	67	3283
2	111	3613
3	161	3879
4	237	4503
5	314	4919
6	361	4802
7	404	4647
8	445	4501
9	486	4377
10	530	4290
11	576	4227
12	617	4134
13	661	4065
14	704	3993
15	746	3917
16	799	3905
17	842	3839
18	891	3799
19	931	3727
20	980	3690
21	1026	3638
22	1071	3587
23	1127	3568
24	1172	3518
25	1222	3478
26	1273	3442
27	1320	3395
28	1379	3377
29	1423	3320
30	1468	3267
31	1512	3213
32	1552	3152
33	1597	3100
34	1641	3048
35	1689	3002
36	1742	2966
37	1825	2978
38	1900	2972
39	1949	2924
40	1995	2871
41	2039	2816
42	2080	2758
43	2126	2705
44	2184	2670
45	2228	2616
46	2270	2560
47	2309	2502
48	2358	2454
49	2395	2395
50	2438	2343
51	2487	2296
52	2535	2248
53	2579	2197
54	2629	2151
55	2674	2101
56	2717	2050
57	2765	2002
58	2816	1957
59	2867	1911
60	2914	1863
61	2960	1814
62	3004	1764
63	3048	1714
64	3098	1668
65	3142	1619
66	3185	1568
67	3225	1518
68	3274	1471
69	3320	1423
70	3397	1387
71	3479	1353
72	3532	1306
73	3574	1255
74	3617	1205
75	3660	1155
76	3708	1107
77	3754	1059
78	3813	1013
79	3868	967
80	3921	919
81	3974	872
82	4026	824
83	4079	777
84	4136	729
85	4189	682
86	4243	634
87	4299	586
88	4346	537
89	4396	488
90	4437	438
91	4479	389
92	4523	340
93	4567	291
94	4618	243
95	4663	194
96	4706	145
97	4759	97
98	4808	48
99	4850	0
